 1 of 23 this act all persons are entitled to the full and equal enjoyment of 24 the goods services facilities privileges advantages and 25 accommodations of any place of public accommodation without 26 discrimination or segregation on the ground of race color religion 27 national origin disability sexual or ientation sex gender identity or 28 expression. 29 sec. 4. this act becomes effective upon passage and approval 30 for the purpose of adopting any regulations and performing any 31 other preparatory administrative tasks to carry out the provisions of 32 this act and on january 1 2016 for all other purposes. 33 h , reprinted with amendments adopted on april 16 2015 first reprint a.b. 375 ab375 r1 assembly bill no. 375 a ssemblywoman dooling march 17 2015 joint sponsor : senator hammond referred to committee on education summary revises certain pr ovisions concerning public schools. bdr 34 806 fiscal note: effect on local gove rnment: may have fiscal impact. effect on the state: yes. explanation matter in bolded italics is new; matter between brackets omitted material is material to be omitted. an act relating to education; providing certain requirements for school facilities that are designated for use by persons of one biological sex; and providi ng other matters properly relating thereto. legislative counsel s digest: ,0.33049291372299194,0.8269230769230769,NV-AB375,NC-H2
 reprinted with amendments adopted on april 16 2015 first reprint a.b. 375 ab375 r1 assembly bill no. 375 a ssemblywoman dooling march 17 2015 joint sponsor : senator hammond referred to committee on education summary revises certain pr ovisions concerning public schools. bdr 34 806 fiscal note: effect on local gove rnment: may have fiscal impact. effect on the state: yes. explanation matter in bolded italics is new; matter between brackets omitted material is material to be omitted. an act relating to education; providing certain requirements for school facilities that are designated for use by persons of one biological sex; and providi ng other matters properly relating thereto. legislative counsel s digest: , 1 of this bill requires that any school facility in a public school 1 including a restroom locker room or shower which is designated for use by persons 2 of one biological sex must only be used by persons of that biological sex as 3 determined at birth. ,0.5690417289733887,0.8235294117647058,NV-AB375,NC-H2
 1 of this bill requires that any school facility in a public school 1 including a restroom locker room or shower which is designated for use by persons 2 of one biological sex must only be used by persons of that biological sex as 3 determined at birth. , 1 also requires a public school to provide separate 4 private areas designated for use by pupils based on their biological sex for any 5 school facility where pupils may be in a st ate of undress in the presence of other 6 pupils. for the purposes of ,0.7025136947631836,0.7142857142857143,NV-AB375,NC-H2
 1 also requires a public school to provide separate 4 private areas designated for use by pupils based on their biological sex for any 5 school facility where pupils may be in a st ate of undress in the presence of other 6 pupils. for the purposes of , 3 of this bill provides an exception 7 from the provisions of existing law that otherw ise make it unlawful to deny equal 8 access to places of public accommodation on the ground of gender identity or 9 expression. nrs 651.070 10 the people of the state of nevada represented in senate and assembly do enact as follows: ,0.41990000009536743,0.7976190476190477,NV-AB375,NC-H2
 3 of this bill provides an exception 7 from the provisions of existing law that otherw ise make it unlawful to deny equal 8 access to places of public accommodation on the ground of gender identity or 9 expression. nrs 651.070 10 the people of the state of nevada represented in senate and assembly do enact as follows: , 1. chapter 388 of nrs is hereby amended by adding 1 thereto a new ,0.23386754095554352,0.8208955223880597,NV-AB375,NC-H2
 1. chapter 388 of nrs is hereby amended by adding 1 thereto a new , to read as follows: 2 1. any school facility in a public school including without 3 limitation a restroom locker room or shower which is designated 4 2 ab375 r1 for use by persons of one biological sex must only be used by 1 persons of that biological sex. 2 2. in any school facility or setting where a pupil may be in a 3 state of undress in the presence of other pupils a public school 4 shall provide separate private area s designated for use by pupils 5 based on their biological sex. 6 3. for any pupil who asserts at school a gender that is 7 different than the pupil s biological sex a public school shall 8 provide the best available acco mmodation that meets the needs of 9 the pupil but such accommodatio n must not include access to a 10 school restroom locker room or shower designated for use by 11 persons whose biological sex is different from the pupil s 12 biological sex. such accommodation may include without 13 limitation access to a single stall restroom access to a unisex 14 restroom or controlled use of a faculty restroom locker room or 15 shower. 16 4. as used in this ,0.24490129947662354,0.6417910447761194,NV-AB375,NC-H2
 to read as follows: 2 1. any school facility in a public school including without 3 limitation a restroom locker room or shower which is designated 4 2 ab375 r1 for use by persons of one biological sex must only be used by 1 persons of that biological sex. 2 2. in any school facility or setting where a pupil may be in a 3 state of undress in the presence of other pupils a public school 4 shall provide separate private area s designated for use by pupils 5 based on their biological sex. 6 3. for any pupil who asserts at school a gender that is 7 different than the pupil s biological sex a public school shall 8 provide the best available acco mmodation that meets the needs of 9 the pupil but such accommodatio n must not include access to a 10 school restroom locker room or shower designated for use by 11 persons whose biological sex is different from the pupil s 12 biological sex. such accommodation may include without 13 limitation access to a single stall restroom access to a unisex 14 restroom or controlled use of a faculty restroom locker room or 15 shower. 16 4. as used in this , biological sex means the 17 biological condition of being male or female as determined at birth 18 based on physical differences or if necessary at the chromosomal 19 level. 20 sec. 2. deleted by amendment. 21 sec. 3. nrs 651.070 is hereby amended to read as follows: 22 651.070 all except as otherwise provided in ,0.38935309648513794,0.8006329113924051,NV-AB375,NC-H2
 biological sex means the 17 biological condition of being male or female as determined at birth 18 based on physical differences or if necessary at the chromosomal 19 level. 20 sec. 2. deleted by amendment. 21 sec. 3. nrs 651.070 is hereby amended to read as follows: 22 651.070 all except as otherwise provided in , 1 of 23 this act all persons are entitled to the full and equal enjoyment of 24 the goods services facilities privileges advantages and 25 accommodations of any place of public accommodation without 26 discrimination or segregation on the ground of race color religion 27 national origin disability sexual or ientation sex gender identity or 28 expression. 29 sec. 4. this act becomes effective upon passage and approval 30 for the purpose of adopting any regulations and performing any 31 other preparatory administrative tasks to carry out the provisions of 32 this act and on january 1 2016 for all other purposes. 33 h ,0.34033191204071045,0.7531645569620253,NV-AB375,NC-H2
s 2.1 2.2 2.3 3.1 3.2 and 3.3 of this act supersede and preempt any ordinance resolution regulation or policy adopted prior to the effective date of this act that purports to regulate a subject matter preempted by this act or that violates or is not consistent with this act and such ordinances resolutions regulations or policies shall be null and void as of the effective date of this act.,h2 filed .docxgeneral assembly of north carolinasecond extra session 2016h dhouse bill drh40005 tc 1b 03 22 short title: public facilities privacy security act. public sponsors:representatives bishop stam howard and steinburg primary sponsors .referred to:a bill to be entitledan act to provide for single sex multiple occupancy bathroom and changing facilities in schools and public agencies and to create statewide consistency in regulation of employment and public accommodations.whereas the north carolina constitution directs the general assembly to provide for the organization and government of all cities and counties and to give cities and counties such powers and duties as the general assembly deems advisable in ,0.3153720200061798,0.8312020460358056,NC-H2,NC-H2
h2 filed .docxgeneral assembly of north carolinasecond extra session 2016h dhouse bill drh40005 tc 1b 03 22 short title: public facilities privacy security act. public sponsors:representatives bishop stam howard and steinburg primary sponsors .referred to:a bill to be entitledan act to provide for single sex multiple occupancy bathroom and changing facilities in schools and public agencies and to create statewide consistency in regulation of employment and public accommodations.whereas the north carolina constitution directs the general assembly to provide for the organization and government of all cities and counties and to give cities and counties such powers and duties as the general assembly deems advisable in , 1 of article vii of the north carolina constitution; andwhereas the north carolina constitution reflects the importance of statewide laws related to commerce by prohibiting the general assembly from enacting local acts regulating labor trade mining or manufacturing in ,0.43105047941207886,0.7444444444444445,NC-H2,NC-H2
 1 of article vii of the north carolina constitution; andwhereas the north carolina constitution reflects the importance of statewide laws related to commerce by prohibiting the general assembly from enacting local acts regulating labor trade mining or manufacturing in , 24 of article ii of the north carolina constitution; andwhereas the general assembly finds that laws and obligations consistent statewide for all businesses organizations and employers doing business in the state will improve intrastate commerce; andwhereas the general assembly finds that laws and obligations consistent statewide for all businesses organizations and employers doing business in the state benefit the businesses organizations and employers seeking to do business in the state and attracts new businesses organizations and employers to the state; now therefore the general assembly of north carolina enacts:part i. single sex multiple occupancy bathroom and changing facilities,0.7087258100509644,0.25555555555555554,NC-H2,NC-H2
